,City,Country Code,City_Number,Lat,Lng,Temp_F,Humidity (%),Cloudiness (%),Wind Speed (mph)
118,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
119,colquechaca,bo,3919720,-18.7,-66.0,59.48,65.0,48.0,1.7
120,julio de castilhos,br,3459495,-29.23,-53.68,86.0,66.0,20.0,2.24
121,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
122,puerto ayora,ec,3652764,-0.74,-90.35,83.88,70.0,20.0,10.29
123,ribeira grande,pt,3372707,38.52,-28.7,60.8,59.0,20.0,13.87
124,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
125,jamestown,sh,3370903,-15.94,-5.72,77.21,99.0,92.0,16.13
126,auki,sb,2109701,-8.77,160.7,77.75,100.0,88.0,3.71
127,noumea,nc,2139521,-22.28,166.46,69.8,83.0,0.0,3.36
128,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
129,mataura,pf,,,,,,,
130,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
131,castro,cl,3896218,-42.48,-73.76,59.0,67.0,75.0,8.05
132,gubkinskiy,ru,1539209,64.43,76.5,25.37,90.0,80.0,14.79
133,cape town,za,3369157,-33.93,18.42,67.53,49.0,0.0,11.41
134,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
135,tabuk,sa,101628,28.38,36.58,66.2,22.0,40.0,11.41
136,bethel,us,5880568,60.79,-161.76,27.52,100.0,1.0,8.05
137,barentsburg,sj,,,,,,,
138,bolungarvik,is,,,,,,,
139,erenhot,cn,2037485,43.65,111.97,24.47,68.0,0.0,5.06
140,grand gaube,mu,934479,-20.01,57.66,78.3,78.0,20.0,10.09
141,khani,ru,,,,,,,
142,airai,pw,,,,,,,
143,yellowknife,ca,6185377,62.45,-114.38,5.72,71.0,20.0,14.99
144,hithadhoo,mv,1282256,-0.6,73.08,84.59,100.0,32.0,7.4
145,sao paulo de olivenca,br,3662252,-3.38,-68.87,94.85,51.0,0.0,2.04
146,hilo,us,5855927,19.71,-155.08,67.84,72.0,40.0,5.82
147,mizdah,ly,2214827,31.45,12.98,61.91,53.0,0.0,9.53
148,yellowknife,ca,6185377,62.45,-114.38,5.72,71.0,20.0,14.99
149,hilo,us,5855927,19.71,-155.08,67.84,72.0,40.0,5.82
150,port blair,in,1259385,11.67,92.75,84.59,100.0,0.0,1.92
151,ilulissat,gl,3423146,69.22,-51.1,37.4,69.0,75.0,24.16
152,bredy,ru,1508811,52.43,60.33,37.07,81.0,88.0,12.55
153,tuggurt,dz,,,,,,,
